Timestamp,Bitcoin Price (USD)
2023-12-20 16:51:30,43530
2023-12-20 16:51:40,43505
2023-12-20 16:51:50,43530
2023-12-20 16:52:01,43505
2023-12-20 16:52:11,43530
2023-12-20 16:52:21,43526
2023-12-20 16:52:32,43505
2023-12-20 16:52:42,43530
2023-12-20 16:53:53,43430
2023-12-20 16:54:03,43430
2023-12-20 16:54:13,43431
2023-12-20 16:54:23,43430
2023-12-20 16:54:33,43430
2023-12-20 16:54:44,43431
2023-12-20 16:55:55,43431
2023-12-20 16:56:05,43409
2023-12-20 16:56:15,43431
2023-12-20 16:56:25,43409
2023-12-20 16:56:35,43430
2023-12-20 16:56:45,43409
2023-12-20 16:57:56,43409
2023-12-20 16:58:07,43409
2023-12-20 16:58:17,43430
2023-12-20 16:58:27,43409
2023-12-20 16:58:37,43430
2023-12-20 16:58:47,43430
2023-12-20 16:59:58,43409
2023-12-20 17:00:09,43382
2023-12-20 17:00:19,43382
2023-12-20 17:00:29,43376
2023-12-20 17:00:39,43382
2023-12-20 17:00:49,43370
2023-12-20 17:00:59,43370
2023-12-20 17:02:10,43417
2023-12-20 17:02:21,43370
2023-12-20 17:02:31,43370
2023-12-20 17:02:41,43382
2023-12-20 17:02:51,43370
2023-12-20 17:03:01,43417
2023-12-20 17:03:11,43417
2023-12-20 17:04:22,43417
2023-12-20 17:04:33,43471
2023-12-20 17:04:43,43457
2023-12-20 17:04:53,43457
2023-12-20 17:05:03,43471
2023-12-20 17:05:13,43457
2023-12-20 17:05:23,43472
2023-12-20 17:05:34,43471
2023-12-20 17:06:45,43519
2023-12-20 17:06:55,43519
2023-12-20 17:07:05,43457
2023-12-20 17:07:15,43519
2023-12-20 17:07:25,43471
2023-12-20 17:07:36,43519
2023-12-20 17:07:46,43472
2023-12-20 17:08:57,43494
2023-12-20 17:09:07,43494
2023-12-20 17:09:17,43494
2023-12-20 17:09:27,43494
2023-12-20 17:09:37,43494
2023-12-20 17:09:48,43494
2023-12-20 17:10:59,43541
2023-12-20 17:11:09,43494
2023-12-20 17:11:19,43494
2023-12-20 17:11:29,43494
2023-12-20 17:11:39,43541
2023-12-20 17:11:49,43494
2023-12-20 17:12:00,43494
2023-12-20 17:13:11,43494
2023-12-20 17:13:21,43494
2023-12-20 17:13:31,43504
2023-12-20 17:13:41,43494
2023-12-20 17:13:52,43494
2023-12-20 17:14:02,43504
2023-12-20 17:14:12,43504
2023-12-20 17:15:23,43507
2023-12-20 17:15:33,43504
2023-12-20 17:15:44,43476
2023-12-20 17:15:54,43504
2023-12-20 17:16:04,43504
2023-12-20 17:16:14,43507
2023-12-20 17:16:24,43504
2023-12-20 17:16:34,43507
2023-12-20 17:16:44,43504
2023-12-20 17:17:56,43504
2023-12-20 17:18:06,43507
2023-12-20 17:18:16,43504
2023-12-20 17:18:26,43507
2023-12-20 17:18:36,43507
2023-12-20 17:18:46,43507
2023-12-20 17:19:57,43557
2023-12-20 17:20:08,43561
2023-12-20 17:20:18,43561
2023-12-20 17:20:28,43561
2023-12-20 17:20:38,43561
2023-12-20 17:20:48,43561
2023-12-20 17:22:00,43561
2023-12-20 17:22:10,43561
2023-12-20 17:22:20,43557
2023-12-20 17:22:30,43561
2023-12-20 17:22:40,43557
2023-12-20 17:23:51,43561
2023-12-20 17:24:02,43626
2023-12-20 17:24:12,43626
2023-12-20 17:24:22,43613
2023-12-20 17:24:32,43626
2023-12-20 17:24:42,43626
